date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:53:40	5599/5599	---M--	200	added ('OK')	text/calendar	etag:%225880094-15df-4c622005b1700%22	https://spqr.eecs.umich.edu/events/2012-medcomm/MedCOMM2012.ics	spqr.eecs.umich.edu/events/2012-medcomm/MedCOMM2012.ics	(from https://spqr.eecs.umich.edu/events/2012-medcomm/)
01:53:41	543842/543842	---M--	200	added ('OK')	application/pdf	etag:%225880095-84c62-4c6ee44e1afc0%22	https://spqr.eecs.umich.edu/events/2012-medcomm/MedCOMM_Program.pdf	spqr.eecs.umich.edu/events/2012-medcomm/MedCOMM_Program.pdf	(from https://spqr.eecs.umich.edu/events/2012-medcomm/)
01:53:41	1336/1336	---M--	200	added ('OK')	image/png	etag:%225880096-538-4c622005b1700%22	https://spqr.eecs.umich.edu/events/2012-medcomm/calendar.png	spqr.eecs.umich.edu/events/2012-medcomm/calendar.png	(from https://spqr.eecs.umich.edu/events/2012-medcomm/)
01:53:42	17306/17306	---M--	200	added ('OK')	image/jpeg	etag:%225c220dd-439a-4e72769d2b500%22	https://spqr.eecs.umich.edu/events/2013-dan-holcomb/dan-holcomb.jpg	spqr.eecs.umich.edu/events/2013-dan-holcomb/dan-holcomb.jpg	(from https://spqr.eecs.umich.edu/events/2013-dan-holcomb/)
01:53:42	32765/32765	---M--	200	added ('OK')	image/jpeg	etag:%225880093-7ffd-4a5c785c1fb00%22	https://spqr.eecs.umich.edu/events/2011-regazzoni/regazzoni.jpg	spqr.eecs.umich.edu/events/2011-regazzoni/regazzoni.jpg	(from https://spqr.eecs.umich.edu/events/2011-regazzoni/)
01:53:43	635954/635954	---M--	200	added ('OK')	application/pdf	etag:%225c220dc-9b432-4e72769d2b500%22	https://spqr.eecs.umich.edu/events/2013-dan-holcomb/dan-holcomb-flyer.pdf	spqr.eecs.umich.edu/events/2013-dan-holcomb/dan-holcomb-flyer.pdf	(from https://spqr.eecs.umich.edu/events/2013-dan-holcomb/)
01:53:43	26599/26599	---M--	200	added ('OK')	image/jpeg	etag:%22588009c-67e7-4a109df998340%22	https://spqr.eecs.umich.edu/events/mcgraw/gem05-crop.jpg	spqr.eecs.umich.edu/events/mcgraw/gem05-crop.jpg	(from https://spqr.eecs.umich.edu/events/mcgraw/)
01:53:44	268665/268665	---M--	200	added ('OK')	application/pdf	etag:%22588009b-41979-4a1656306c700%22	https://spqr.eecs.umich.edu/events/mcgraw/cigitalposter.pdf	spqr.eecs.umich.edu/events/mcgraw/cigitalposter.pdf	(from https://spqr.eecs.umich.edu/events/mcgraw/)
01:53:44	22995/22995	---M--	200	added ('OK')	image/jpeg	etag:%225880091-59d3-4a32161172e40%22	https://spqr.eecs.umich.edu/events/2011-king-sam/sam-king.jpg	spqr.eecs.umich.edu/events/2011-king-sam/sam-king.jpg	(from https://spqr.eecs.umich.edu/events/2011-king-sam/)
01:53:45	36439/36439	---M--	200	added ('OK')	image/jpeg	etag:%22588008f-8e57-4a371d809de80%22	https://spqr.eecs.umich.edu/events/2010-xu-wenyuan/wenyuan-xu.jpg	spqr.eecs.umich.edu/events/2010-xu-wenyuan/wenyuan-xu.jpg	(from https://spqr.eecs.umich.edu/events/2010-xu-wenyuan/)
01:53:45	26930/26930	---M--	200	added ('OK')	image/png	etag:%22588008d-6932-4a371d809de80%22	https://spqr.eecs.umich.edu/events/2010-xu-wenyuan/drive.png	spqr.eecs.umich.edu/events/2010-xu-wenyuan/drive.png	(from https://spqr.eecs.umich.edu/events/2010-xu-wenyuan/)
01:53:45	12952/12952	---M--	200	added ('OK')	image/jpeg	etag:%22588008b-3298-4a371d809de80%22	https://spqr.eecs.umich.edu/events/2009-jiang-andrew/andrew-jiang.jpg	spqr.eecs.umich.edu/events/2009-jiang-andrew/andrew-jiang.jpg	(from https://spqr.eecs.umich.edu/events/2009-jiang-andrew/)
01:53:46	1978/1978	---M--	200	added ('OK')	image/jpeg	etag:%22588008a-7ba-4a358108d7c40%22	https://spqr.eecs.umich.edu/events/2009-clarke-richard/richard-clarke.jpg	spqr.eecs.umich.edu/events/2009-clarke-richard/richard-clarke.jpg	(from https://spqr.eecs.umich.edu/events/2009-clarke-richard/)
01:53:46	84848/84848	---M--	200	added ('OK')	image/jpeg	etag:%225880089-14b70-4a370def363c0%22	https://spqr.eecs.umich.edu/events/2009-clarke-richard/richard-clarke-audience.jpg	spqr.eecs.umich.edu/events/2009-clarke-richard/richard-clarke-audience.jpg	(from https://spqr.eecs.umich.edu/events/2009-clarke-richard/)
01:53:47	234/234	---M--	200	added ('OK')	text/css	etag:%2258801cb-ea-4b8e192bf3700%22	https://spqr.eecs.umich.edu/moo/apps/concrete/mementos.css	spqr.eecs.umich.edu/moo/apps/concrete/mementos.css	(from https://spqr.eecs.umich.edu/moo/apps/concrete/)
